service_type,key_question,kloe,ref,checklist_item
Residential Care Home,Effective,Consent to care and treatment,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Residential Care Home,Effective,Consent to care and treatment,EFF-CT-04,"The service makes lawful decisions in people's best interests when required. People are involved and their feelings, beliefs and values are considered. Those close to the person and their advocates are involved and kept informed of any changes as appropriate."
Residential Care Home,Caring,Kindness compassion and dignity,CAR-KD-01,"There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
Residential Care Home,Caring,Kindness compassion and dignity,CAR-KD-02,"People's privacy, confidentiality, and respect are consistently upheld. Staff are discreet and challenge behaviour and practices that fall short of this. Staff have a clear understanding of the boundaries of confidentiality and work within these."
Residential Care Home,Caring,Kindness compassion and dignity,CAR-KD-03,"Staff genuinely care about people's wellbeing and show it in a thoughtful, meaningful way. They promptly respond to people's emotions, discomfort, distress, or urgent needs in a positive way."
Residential Care Home,Caring,Person-centred care,CAR-PC-01,"People are at the centre of how their care, support and treatment is delivered. Care is tailored to the individual and is not task-focused."
Residential Care Home,Caring,Person-centred care,CAR-PC-02,"Staff treat people as individuals, considering any relevant protected equality characteristics and ensuring their personal, cultural, social, spiritual and religious needs are understood and met."
Residential Care Home,Caring,Independence choice and control,CAR-IC-01,"If people wish to, they are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way. People are offered meaningful and genuine choices."
Residential Care Home,Caring,Independence choice and control,CAR-IC-02,"People are supported to establish and maintain relationships and networks that are important to them, with access to family, friends, cultural connections, and advocacy support while using the service. When applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Residential Care Home,Caring,Independence choice and control,CAR-IC-03,"People are supported to make decisions about end of life preferences and advance decisions if they wish to. People who may be approaching the end of their life are identified to ensure their needs are met, in line with their preferences and choices, and the right support is provided."
Residential Care Home,Caring,Independence choice and control,CAR-IC-04,"There is a compassionate and supportive approach towards those close to the person, or staff, before and after a person dies."
Residential Care Home,Caring,Independence choice and control,CAR-IC-05,"People are supported to plan for important life changes, including those relating to potential medical and psychological needs. They can have enough time and accessible information to make informed decisions about their future."
Residential Care Home,Caring,Independence choice and control,CAR-IC-06,"People have choice and control over their own care and are empowered to make decisions about their care, support, treatment and wellbeing."
